start_at,end_at,start_sec,end_sec,char,latin_char,type,video_name
 00:00:01, 00:00:04,1,4,ក,ka,consonant,PXL_20221005_070329861.mp4
 00:00:05, 00:00:08,5,8,្ក,stack_ka,stack_consonant,PXL_20221005_070329861.mp4
 00:00:16, 00:00:20,16,20,ខ,kha,consonant,PXL_20221005_070329861.mp4
 00:00:21, 00:00:27,21,27,្ខ,stack_kha,stack_consonant,PXL_20221005_070329861.mp4
 00:00:33, 00:00:36,33,36,គ,ko,consonant,PXL_20221005_070329861.mp4
 00:00:36, 00:00:40,36,40,្គ,stack_ko,stack_consonant,PXL_20221005_070329861.mp4
 00:00:43, 00:00:45,43,45,ឃ,kho,consonant,PXL_20221005_070329861.mp4
 00:00:46, 00:00:50,46,50,្ឃ,stack_kho,stack_consonant,PXL_20221005_070329861.mp4
 00:00:58, 00:01:02,58,62,ង,ngo,consonant,PXL_20221005_070329861.mp4
 00:01:03, 00:01:07,63,67,្ង,stack_ngo,stack_consonant,PXL_20221005_070329861.mp4
 00:00:00, 00:00:02,0,2,ច,cha,consonant,PXL_20221005_073803498.mp4
 00:00:02, 00:00:07,2,7,្ច,stack_cha,stack_consonant,PXL_20221005_073803498.mp4
 00:00:07, 00:00:09,7,9,ឆ,chha,consonant,PXL_20221005_073803498.mp4
 00:00:09, 00:00:13,9,13,្ឆ,stack_chha,stack_consonant,PXL_20221005_073803498.mp4
 00:00:14, 00:00:17,14,17,ជ,cho,consonant,PXL_20221005_073803498.mp4
 00:00:17, 00:00:21,17,21,្ជ,stack_cho,stack_consonant,PXL_20221005_073803498.mp4
 00:00:22, 00:00:26,22,26,g,chho,consonant,PXL_20221005_073803498.mp4
 00:00:26, 00:00:30,26,30,្ឈ,stack_chho,stack_consonant,PXL_20221005_073803498.mp4
 00:00:32, 00:00:36,32,36,ញ,nho,consonant,PXL_20221005_073803498.mp4
 00:00:36, 00:00:39,36,39,្ញ,stack_nho,stack_consonant,PXL_20221005_073803498.mp4
 00:00:02, 00:00:04,2,4,ដ,da,consonant,PXL_20221005_075428349.mp4
 00:00:04, 00:00:08,4,8,្ដ,stack_da,stack_consonant,PXL_20221005_075428349.mp4
 00:00:10, 00:00:14,10,14,ឋ,tha1,consonant,PXL_20221005_075428349.mp4
 00:00:14, 00:00:17,14,17,្ឋ,stack_tha1,stack_consonant,PXL_20221005_075428349.mp4
 00:00:19, 00:00:23,19,23,ឌ,do,consonant,PXL_20221005_075428349.mp4
 00:00:23, 00:00:27,23,27,្ឌ,stack_do,stack_consonant,PXL_20221005_075428349.mp4
 00:00:31, 00:00:34,31,34,ឍ,tho1,consonant,PXL_20221005_075428349.mp4
 00:00:34, 00:00:37,34,37,្ឍ,stack_tho1,stack_consonant,PXL_20221005_075428349.mp4
 00:00:38, 00:00:41,38,41,ណ,na,consonant,PXL_20221005_075428349.mp4
 00:00:41, 00:00:44,41,44,្ណ,stack_na,stack_consonant,PXL_20221005_075428349.mp4
 00:00:00, 00:00:04,0,4,ត,ta,consonant,PXL_20221005_081308609.mp4
 00:00:04, 00:00:08,4,8,្ត,stack_ta,stack_consonant,PXL_20221005_081308609.mp4
 00:00:12, 00:00:18,12,18,ថ,tha2,consonant,PXL_20221005_081308609.mp4
 00:00:18, 00:00:24,18,24,្ថ,stack_tha2,stack_consonant,PXL_20221005_081308609.mp4
 00:00:25, 00:00:31,25,31,ទ,to,consonant,PXL_20221005_081308609.mp4
 00:00:31, 00:00:35,31,35,្ទ,stack_to,stack_consonant,PXL_20221005_081308609.mp4
 00:00:36, 00:00:38,36,38,ធ,tho2,consonant,PXL_20221005_081308609.mp4
 00:00:38, 00:00:41,38,41,្ធ,stack_tho2,stack_consonant,PXL_20221005_081308609.mp4
 00:00:43, 00:00:51,43,51,ន,no,consonant,PXL_20221005_081308609.mp4
 00:00:51, 00:00:55,51,55,្ន,stack_no,stack_consonant,PXL_20221005_081308609.mp4
 00:00:00, 00:00:02,0,2,ប,ba,consonant,PXL_20221005_084351190.mp4
 00:00:02, 00:00:04,2,4,្ប,stack_ba,stack_consonant,PXL_20221005_084351190.mp4
 00:00:05, 00:00:08,5,8,ផ,pha,consonant,PXL_20221005_084351190.mp4
 00:00:08, 00:00:11,8,11,្ផ,stack_pha,stack_consonant,PXL_20221005_084351190.mp4
