start_at,end_at,start_sec,end_sec,char,latin_char,type,video_name
00:00:03,00:00:04,03,04,ា,srak_a,vowel,PXL_20221005_051147777.mp4
00:00:08,00:00:10,08,10,ិ,srak_i,vowel,PXL_20221005_051147777.mp4
00:00:14,00:00:15,14,15,ី,srak_ei,vowel,PXL_20221005_051147777.mp4
00:00:18,00:00:20,18,20,ឹ,srak_oe,vowel,PXL_20221005_051147777.mp4
00:00:23,00:00:25,23,25,ឺ,srak_eu,vowel,PXL_20221005_051147777.mp4
00:00:28,00:00:30,28,30,ុ,srak_o,vowel,PXL_20221005_051147777.mp4
00:00:33,00:00:35,33,35,ូ,srak_ou,vowel,PXL_20221005_051147777.mp4
00:00:38,00:00:40,38,40,ួ,srak_uo,vowel,PXL_20221005_051147777.mp4
00:00:43,00:00:44,43,44,ើ,srak_aeu,vowel,PXL_20221005_051147777.mp4
00:00:49,00:00:52,49,52,ឿ,srak_oea,vowel,PXL_20221005_051147777.mp4
00:00:58,00:01:01,58,61,ៀ,srak_ie,vowel,PXL_20221005_051147777.mp4
00:01:04,00:01:06,64,66,េ,srak_e,vowel,PXL_20221005_051147777.mp4
00:01:09,00:01:11,69,71,ែ,srak_ae,vowel,PXL_20221005_051147777.mp4
00:01:14,00:01:15,74,75,ៃ,srak_ai,vowel,PXL_20221005_051147777.mp4
00:01:18,00:01:20,78,80,ោ,srak_ao,vowel,PXL_20221005_051147777.mp4
00:01:23,00:01:25,83,85,ៅ,srak_au,vowel,PXL_20221005_051147777.mp4
00:01:27,00:01:29,87,89,ុំ,srak_um,vowel,PXL_20221005_051147777.mp4
00:01:33,00:01:35,93,95,ំ,srak_om,vowel,PXL_20221005_051147777.mp4
00:01:38,00:01:41,98,101,ាំ,srak_oam,vowel,PXL_20221005_051147777.mp4
00:01:54,00:01:56,114,116,ះ,srak_ah,vowel,PXL_20221005_051147777.mp4
00:02:00,00:02:02,120,122,ុះ,srak_oh,vowel,PXL_20221005_051147777.mp4
00:02:08,00:02:10,128,130,េះ,srak_eh,vowel,PXL_20221005_051147777.mp4
00:02:14,00:02:16,134,136,ោះ,srak_aoh,vowel,PXL_20221005_051147777.mp4
00:00:15,00:00:17,15,17,ា,srak_a,vowel,PXL_20221005_045815608.mp4
00:00:20,00:00:22,20,22,ិ,srak_i,vowel,PXL_20221005_045815608.mp4
00:00:23,00:00:26,23,26,ី,srak_ei,vowel,PXL_20221005_045815608.mp4
00:00:28,00:00:31,28,31,ឹ,srak_oe,vowel,PXL_20221005_045815608.mp4
00:00:33,00:00:36,33,36,ឺ,srak_eu,vowel,PXL_20221005_045815608.mp4
00:00:37,00:00:40,37,40,ុ,srak_o,vowel,PXL_20221005_045815608.mp4
00:00:41,00:00:44,41,44,ូ,srak_ou,vowel,PXL_20221005_045815608.mp4
00:00:45,00:00:49,45,49,ួ,srak_uo,vowel,PXL_20221005_045815608.mp4
00:00:50,00:00:53,50,53,ើ,srak_aeu,vowel,PXL_20221005_045815608.mp4
00:00:55,00:00:58,55,58,ឿ,srak_oea,vowel,PXL_20221005_045815608.mp4
00:01:05,00:01:08,65,68,ៀ,srak_ie,vowel,PXL_20221005_045815608.mp4
00:01:10,00:01:15,70,75,េ,srak_e,vowel,PXL_20221005_045815608.mp4
