start_at,end_at,start_sec,end_sec,char,latin_char,type,video_name
00:00:01,00:00:03,01,03,ឥ,e,independent_vowel,PXL_20221005_064056229.mp4
00:00:06,00:00:08,06,08,ឦ,ei,independent_vowel,PXL_20221005_064056229.mp4
00:00:11,00:00:14,11,14,ឧ,o,independent_vowel,PXL_20221005_064056229.mp4
00:00:16,00:00:28,16,28,ឩ,ou,independent_vowel,PXL_20221005_064056229.mp4
00:00:30,00:00:32,30,32,ឪ,au_treisapt,independent_vowel,PXL_20221005_064056229.mp4
00:00:54,00:00:56,54,56,ឫ,rue,independent_vowel,PXL_20221005_064056229.mp4
00:01:00,00:01:02,60,62,ឬ,rueu,independent_vowel,PXL_20221005_064056229.mp4
00:01:09,00:01:10,69,70,ឭ,lue,independent_vowel,PXL_20221005_064056229.mp4
00:01:13,00:01:15,73,75,ឮ,lueu,independent_vowel,PXL_20221005_064056229.mp4
00:01:21,00:01:24,81,84,ឯ,ae,independent_vowel,PXL_20221005_064056229.mp4
00:01:36,00:01:37,96,97,ឰ,ai,independent_vowel,PXL_20221005_064056229.mp4
00:01:50,00:01:51,110,111,ឱ,ao,independent_vowel,PXL_20221005_064056229.mp4
00:01:55,00:01:57,115,117,ឳ,au,independent_vowel,PXL_20221005_064056229.mp4
00:00:05,00:00:06,05,06,ឥ,e,independent_vowel,PXL_20221005_064851272.mp4
00:00:10,00:00:11,10,11,ឦ,ei,independent_vowel,PXL_20221005_064851272.mp4
00:00:21,00:00:22,21,22,ឧ,o,independent_vowel,PXL_20221005_064851272.mp4
00:00:43,00:00:47,43,47,ឩ,ou,independent_vowel,PXL_20221005_064851272.mp4
00:00:48,00:00:49,48,49,ឪ,au_treisapt,independent_vowel,PXL_20221005_064851272.mp4
00:00:55,00:00:57,55,57,ឫ,rue,independent_vowel,PXL_20221005_064851272.mp4
00:01:09,00:01:10,69,70,ឬ,rueu,independent_vowel,PXL_20221005_064851272.mp4
00:01:20,00:01:22,80,82,ឭ,lue,independent_vowel,PXL_20221005_064851272.mp4
00:01:33,00:01:34,93,94,ឮ,lueu,independent_vowel,PXL_20221005_064851272.mp4
00:01:38,00:01:40,98,100,ឯ,ae,independent_vowel,PXL_20221005_064851272.mp4
00:01:51,00:01:52,111,112,ឰ,ai,independent_vowel,PXL_20221005_064851272.mp4
00:01:57,00:01:58,117,118,ឱ,ao,independent_vowel,PXL_20221005_064851272.mp4
00:02:04,00:02:05,124,125,ឳ,au,independent_vowel,PXL_20221005_064851272.mp4
00:00:10,00:00:11,10,11,ឥ,e,independent_vowel,PXL_20221005_065137785.mp4
00:00:15,00:00:16,15,16,ឦ,ei,independent_vowel,PXL_20221005_065137785.mp4
00:00:21,00:00:22,21,22,ឧ,o,independent_vowel,PXL_20221005_065137785.mp4
00:00:23,00:00:31,23,31,ឩ,ou,independent_vowel,PXL_20221005_065137785.mp4
00:00:32,00:00:34,32,34,ឪ,au_treisapt,independent_vowel,PXL_20221005_065137785.mp4
00:00:39,00:00:40,39,40,ឫ,rue,independent_vowel,PXL_20221005_065137785.mp4
00:00:50,00:00:52,50,52,ឬ,rueu,independent_vowel,PXL_20221005_065137785.mp4
00:01:03,00:01:04,63,64,ឭ,lue,independent_vowel,PXL_20221005_065137785.mp4
00:01:08,00:01:09,68,69,ឮ,lueu,independent_vowel,PXL_20221005_065137785.mp4
00:01:13,00:01:15,73,75,ឯ,ae,independent_vowel,PXL_20221005_065137785.mp4
00:01:29,00:01:31,89,91,ឰ,ai,independent_vowel,PXL_20221005_065137785.mp4
00:01:37,00:01:38,97,98,ឱ,ao,independent_vowel,PXL_20221005_065137785.mp4
00:01:42,00:01:43,102,103,ឳ,au,independent_vowel,PXL_20221005_065137785.mp4
00:00:03,00:00:05,03,05,ឥ,e,independent_vowel,PXL_20221005_063616958.mp4
00:00:07,00:00:09,07,09,ឦ,ei,independent_vowel,PXL_20221005_063616958.mp4
00:00:14,00:00:17,14,17,ឧ,o,independent_vowel,PXL_20221005_063616958.mp4
00:00:18,00:00:32,18,32,ឩ,ou,independent_vowel,PXL_20221005_063616958.mp4
00:00:33,00:00:35,33,35,ឪ,au_treisapt,independent_vowel,PXL_20221005_063616958.mp4
00:00:52,00:00:55,52,55,ឫ,rue,independent_vowel,PXL_20221005_063616958.mp4
