"start_at", "end_at", "name", "type", "file_name"
"00:00:03", "00:00:04", "ា", "vowels", "PXL_20221005_051147777.mp4"
"00:00:08", "00:00:10", "ិ", "vowels", "PXL_20221005_051147777.mp4"
"00:00:14", "00:00:15", "ី", "vowels", "PXL_20221005_051147777.mp4"
"00:00:18", "00:00:20", "ឹ", "vowels", "PXL_20221005_051147777.mp4"
"00:00:23", "00:00:25", "ឺ", "vowels", "PXL_20221005_051147777.mp4"
"00:00:28", "00:00:30", "ុ", "vowels", "PXL_20221005_051147777.mp4"
"00:00:33", "00:00:35", "ូ", "vowels", "PXL_20221005_051147777.mp4"
"00:00:38", "00:00:40", "ួ", "vowels", "PXL_20221005_051147777.mp4"
"00:00:43", "00:00:44", "ើ", "vowels", "PXL_20221005_051147777.mp4"
"00:00:49", "00:00:52", "ឿ", "vowels", "PXL_20221005_051147777.mp4"
"00:00:58", "00:01:01", "ៀ", "vowels", "PXL_20221005_051147777.mp4"
"00:01:04", "00:01:06", "េ", "vowels", "PXL_20221005_051147777.mp4"
"00:01:09", "00:01:11", "ែ", "vowels", "PXL_20221005_051147777.mp4"
"00:01:14", "00:01:15", "ៃ", "vowels", "PXL_20221005_051147777.mp4"
"00:01:18", "00:01:20", "ោ", "vowels", "PXL_20221005_051147777.mp4"
"00:01:23", "00:01:25", "ៅ", "vowels", "PXL_20221005_051147777.mp4"
"00:01:27", "00:01:29", "ុំ", "vowels", "PXL_20221005_051147777.mp4"
"00:01:33", "00:01:35", "ំ", "vowels", "PXL_20221005_051147777.mp4"
"00:01:38", "00:01:41", "ាំ", "vowels", "PXL_20221005_051147777.mp4"
"00:01:54", "00:01:56", "ះ", "vowels", "PXL_20221005_051147777.mp4"
"00:02:00", "00:02:02", "ុះ", "vowels", "PXL_20221005_051147777.mp4"
"00:02:08", "00:02:10", "េះ", "vowels", "PXL_20221005_051147777.mp4"
"00:02:14", "00:02:16", "ោះ", "vowels", "PXL_20221005_051147777.mp4"
"00:00:15", "00:00:17", "ា", "vowels", "PXL_20221005_045815608.mp4"
"00:00:20", "00:00:22", "ិ", "vowels", "PXL_20221005_045815608.mp4"
"00:00:23", "00:00:26", "ី", "vowels", "PXL_20221005_045815608.mp4"
"00:00:28", "00:00:31", "ឹ", "vowels", "PXL_20221005_045815608.mp4"
"00:00:33", "00:00:36", "ឺ", "vowels", "PXL_20221005_045815608.mp4"
"00:00:37", "00:00:40", "ុ", "vowels", "PXL_20221005_045815608.mp4"
"00:00:41", "00:00:44", "ូ", "vowels", "PXL_20221005_045815608.mp4"
"00:00:45", "00:00:49", "ួ", "vowels", "PXL_20221005_045815608.mp4"
"00:00:50", "00:00:53", "ើ", "vowels", "PXL_20221005_045815608.mp4"
"00:00:55", "00:00:58", "ឿ", "vowels", "PXL_20221005_045815608.mp4"
"00:01:05", "00:01:08", "ៀ", "vowels", "PXL_20221005_045815608.mp4"
"00:01:10", "00:01:15", "េ", "vowels", "PXL_20221005_045815608.mp4"
"00:01:17", "00:01:20", "ែ", "vowels", "PXL_20221005_045815608.mp4"
"00:01:22", "00:01:24", "ៃ", "vowels", "PXL_20221005_045815608.mp4"
"00:01:26", "00:01:28", "ោ", "vowels", "PXL_20221005_045815608.mp4"
"00:01:31", "00:01:33", "ៅ", "vowels", "PXL_20221005_045815608.mp4"
"00:01:35", "00:01:37", "ុំ", "vowels", "PXL_20221005_045815608.mp4"
"00:01:40", "00:01:41", "ំ", "vowels", "PXL_20221005_045815608.mp4"
"00:01:44", "00:01:46", "ាំ", "vowels", "PXL_20221005_045815608.mp4"
"00:01:50", "00:01:53", "ះ", "vowels", "PXL_20221005_045815608.mp4"
"00:01:56", "00:01:58", "ុះ", "vowels", "PXL_20221005_045815608.mp4"
"00:02:00", "00:02:03", "េះ", "vowels", "PXL_20221005_045815608.mp4"
"00:02:06", "00:02:08", "ោះ", "vowels", "PXL_20221005_045815608.mp4"
"00:00:03", "00:00:04", "ា", "vowels", "PXL_20221005_050559568.mp4"
"00:00:06", "00:00:08", "ិ", "vowels", "PXL_20221005_050559568.mp4"
"00:00:10", "00:00:11", "ី", "vowels", "PXL_20221005_050559568.mp4"
"00:00:14", "00:00:15", "ឹ", "vowels", "PXL_20221005_050559568.mp4"
"00:00:17", "00:00:19", "ឺ", "vowels", "PXL_20221005_050559568.mp4"
"00:00:22", "00:00:23", "ុ", "vowels", "PXL_20221005_050559568.mp4"
"00:00:25", "00:00:27", "ូ", "vowels", "PXL_20221005_050559568.mp4"
"00:00:29", "00:00:30", "ួ", "vowels", "PXL_20221005_050559568.mp4"
"00:00:33", "00:00:34", "ើ", "vowels", "PXL_20221005_050559568.mp4"
"00:00:37", "00:00:38", "ឿ", "vowels", "PXL_20221005_050559568.mp4"
"00:00:44", "00:00:46", "ៀ", "vowels", "PXL_20221005_050559568.mp4"
"00:00:52", "00:00:54", "េ", "vowels", "PXL_20221005_050559568.mp4"
"00:00:56", "00:00:58", "ែ", "vowels", "PXL_20221005_050559568.mp4"
"00:01:05", "00:01:06", "ៃ", "vowels", "PXL_20221005_050559568.mp4"
"00:01:08", "00:01:14", "ោ", "vowels", "PXL_20221005_050559568.mp4"
"00:01:17", "00:01:19", "ៅ", "vowels", "PXL_20221005_050559568.mp4"
"00:01:22", "00:01:23", "ុំ", "vowels", "PXL_20221005_050559568.mp4"
"00:01:25", "00:01:26", "ំ", "vowels", "PXL_20221005_050559568.mp4"
"00:01:28", "00:01:30", "ាំ", "vowels", "PXL_20221005_050559568.mp4"
"00:01:32", "00:01:34", "ះ", "vowels", "PXL_20221005_050559568.mp4"
"00:01:36", "00:01:37", "ុះ", "vowels", "PXL_20221005_050559568.mp4"
"00:01:41", "00:01:42", "េះ", "vowels", "PXL_20221005_050559568.mp4"
"00:01:50", "00:01:51", "ោះ", "vowels", "PXL_20221005_050559568.mp4"
"00:00:07", "00:00:08", "ា", "vowels", "PXL_20221005_050913585.mp4"
"00:00:10", "00:00:12", "ិ", "vowels", "PXL_20221005_050913585.mp4"
"00:00:15", "00:00:17", "ី", "vowels", "PXL_20221005_050913585.mp4"
"00:00:19", "00:00:21", "ឹ", "vowels", "PXL_20221005_050913585.mp4"
"00:00:23", "00:00:25", "ឺ", "vowels", "PXL_20221005_050913585.mp4"
"00:00:28", "00:00:29", "ុ", "vowels", "PXL_20221005_050913585.mp4"
"00:00:31", "00:00:33", "ូ", "vowels", "PXL_20221005_050913585.mp4"
"00:00:35", "00:00:37", "ួ", "vowels", "PXL_20221005_050913585.mp4"
"00:00:40", "00:00:41", "ើ", "vowels", "PXL_20221005_050913585.mp4"
"00:00:43", "00:00:44", "ឿ", "vowels", "PXL_20221005_050913585.mp4"
"00:00:50", "00:00:51", "ៀ", "vowels", "PXL_20221005_050913585.mp4"
"00:00:53", "00:00:55", "េ", "vowels", "PXL_20221005_050913585.mp4"
"00:00:57", "00:00:58", "ែ", "vowels", "PXL_20221005_050913585.mp4"
"00:01:01", "00:01:02", "ៃ", "vowels", "PXL_20221005_050913585.mp4"
"00:01:04", "00:01:05", "ោ", "vowels", "PXL_20221005_050913585.mp4"
"00:01:07", "00:01:09", "ៅ", "vowels", "PXL_20221005_050913585.mp4"
"00:01:12", "00:01:13", "ុំ", "vowels", "PXL_20221005_050913585.mp4"
"00:01:15", "00:01:16", "ំ", "vowels", "PXL_20221005_050913585.mp4"
"00:01:19", "00:01:21", "ាំ", "vowels", "PXL_20221005_050913585.mp4"
"00:01:23", "00:01:24", "ះ", "vowels", "PXL_20221005_050913585.mp4"
"00:01:27", "00:01:28", "ុះ", "vowels", "PXL_20221005_050913585.mp4"
"00:01:30", "00:01:31", "េះ", "vowels", "PXL_20221005_050913585.mp4"
"00:01:41", "00:01:42", "ោះ", "vowels", "PXL_20221005_050913585.mp4"
"00:00:00", "00:00:05", "ា", "vowels", "PXL_20221005_045451616.mp4"
"00:00:06", "00:00:09", "ិ", "vowels", "PXL_20221005_045451616.mp4"
"00:00:10", "00:00:13", "ី", "vowels", "PXL_20221005_045451616.mp4"
"00:00:14", "00:00:18", "ឹ", "vowels", "PXL_20221005_045451616.mp4"
"00:00:19", "00:00:22", "ឺ", "vowels", "PXL_20221005_045451616.mp4"
"00:00:23", "00:00:25", "ុ", "vowels", "PXL_20221005_045451616.mp4"
"00:00:27", "00:00:30", "ូ", "vowels", "PXL_20221005_045451616.mp4"
"00:00:31", "00:00:34", "ួ", "vowels", "PXL_20221005_045451616.mp4"
"00:00:35", "00:00:38", "ើ", "vowels", "PXL_20221005_045451616.mp4"
"00:00:39", "00:00:42", "ឿ", "vowels", "PXL_20221005_045451616.mp4"
"00:00:44", "00:00:48", "ៀ", "vowels", "PXL_20221005_045451616.mp4"
"00:00:49", "00:00:52", "េ", "vowels", "PXL_20221005_045451616.mp4"
"00:00:53", "00:00:56", "ែ", "vowels", "PXL_20221005_045451616.mp4"
"00:00:58", "00:01:01", "ៃ", "vowels", "PXL_20221005_045451616.mp4"
"00:01:02", "00:01:06", "ោ", "vowels", "PXL_20221005_045451616.mp4"
"00:01:07", "00:01:10", "ៅ", "vowels", "PXL_20221005_045451616.mp4"
"00:01:11", "00:01:14", "ុំ", "vowels", "PXL_20221005_045451616.mp4"
"00:01:15", "00:01:19", "ំ", "vowels", "PXL_20221005_045451616.mp4"
